Date,Open,High,Low,Close,Adj Close,Volume
2016-02-01,28.969999,35.599998,22.510000,29.270000,29.270000,6313500
2016-03-01,29.940001,33.500000,25.280001,29.309999,29.309999,2882300
2016-04-01,29.129999,33.240002,26.020000,27.760000,27.760000,1907900
2016-05-01,27.540001,28.650000,26.010000,28.250000,28.250000,880200
2016-06-01,28.350000,33.310001,27.799999,29.799999,29.799999,1393700
2016-07-01,30.000000,30.500000,26.240000,26.240000,26.240000,988700
2016-08-01,26.000000,29.820000,24.530001,28.709999,28.709999,1161800
2016-09-01,28.690001,33.980000,28.455000,30.809999,30.809999,1708600
2016-10-01,30.879999,33.720001,30.000000,33.240002,33.240002,2185900
2016-11-01,33.470001,37.889999,30.639999,31.700001,31.700001,7295400
2016-12-01,31.600000,31.934999,26.430000,27.200001,27.200001,3687100
2017-01-01,30.632000,36.654999,29.580999,34.840000,34.840000,1316300
2017-02-01,35.290001,41.000000,34.285000,38.970001,38.970001,1904300
2017-03-01,39.410000,41.889999,35.303001,36.610001,36.610001,2769600
2017-04-01,36.869999,40.939999,35.919998,40.880001,40.880001,1688500
2017-05-01,40.840000,42.090000,34.360001,36.750000,36.750000,2078200
2017-06-01,36.779999,46.000000,36.750000,45.000000,45.000000,2073900
2017-07-01,45.209999,79.250000,45.209999,70.489998,70.489998,8616500
2017-08-01,71.139999,79.889999,65.584999,68.919998,68.919998,5782300
2017-09-01,69.449997,103.799004,69.000000,103.459999,103.459999,4926700
2017-10-01,104.269997,118.949997,79.029999,92.300003,92.300003,8005700
2017-11-01,93.389999,93.389999,77.540001,80.000000,80.000000,6143100
2017-12-01,80.269997,102.699997,78.529999,97.720001,97.720001,6774600
2018-01-01,98.720001,137.500000,95.339996,135.750000,135.750000,6992300
2018-02-01,137.649994,164.149994,117.459999,143.470001,143.470001,6528900
2018-03-01,144.899994,182.789993,137.595993,168.000000,168.000000,11450900
2018-04-01,166.320007,176.970001,159.001007,169.580002,169.580002,6404400
2018-05-01,169.570007,202.880005,167.910004,200.119995,200.119995,6629300
2018-06-01,200.000000,220.100006,145.059998,153.729996,153.729996,8872000
2018-07-01,151.410004,190.000000,150.119995,189.660004,189.660004,5355700
2018-08-01,189.000000,194.559998,155.009995,177.529999,177.529999,6631100
2018-09-01,176.529999,179.570007,157.179993,172.220001,172.220001,4237000
2018-10-01,172.110001,175.699997,105.190002,125.940002,125.940002,9635100
2018-11-01,129.869995,155.990005,110.330002,153.309998,153.309998,17021600
2018-12-01,158.399994,164.990005,118.379997,140.259995,140.259995,10644900
2019-01-01,137.639999,149.619995,108.000000,129.479996,129.479996,11538600
2019-02-01,129.300003,143.000000,125.050003,137.050003,137.050003,4233600
2019-03-01,138.440002,155.000000,121.669998,132.000000,132.000000,6086800
2019-04-01,133.380005,148.804993,117.180000,124.230003,124.230003,6858000
2019-05-01,124.449997,139.270004,115.275002,117.930000,117.930000,6502600
2019-06-01,118.790001,129.490005,113.010002,123.949997,123.949997,5813700
2019-07-01,126.050003,137.479996,118.500000,137.339996,137.339996,4718600
2019-08-01,136.679993,150.000000,127.514999,143.750000,143.750000,5712000
2019-09-01,143.000000,148.660004,118.000000,122.459999,122.459999,8946200
2019-10-01,122.410004,143.522995,114.410004,138.339996,138.339996,5823900
2019-11-01,170.000000,210.350006,170.000000,203.289993,203.289993,10089900
2019-12-01,201.580002,205.440002,157.229996,165.759995,165.759995,9369100
2020-01-01,168.000000,173.835007,150.860001,152.360001,152.360001,5862800
2020-02-01,150.360001,173.979996,150.100006,158.350006,158.350006,4852600
2020-03-01,159.940002,164.130005,118.550003,123.110001,123.110001,12119400
2020-04-01,123.949997,165.714996,122.260002,152.830002,152.830002,4481300
2020-05-01,150.990005,171.399994,136.479996,165.539993,165.539993,5600500
2020-06-01,164.619995,201.000000,155.160004,188.399994,188.399994,4466200
2020-07-01,186.520004,256.010010,186.520004,233.050003,233.050003,6492200
2020-07-23,240.479996,241.839996,230.645004,233.050003,233.050003,270364
